09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:31 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:31 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
